,Q,A
0,"Mr. Speaker, I would like to begin by congratulating the  \lineBreak Where is the government's desire to work with others?","Mr. Speaker, I would like to congratulate the new Leader of the Opposition. His party was very successful in the recent election, and we can see the results of that here today. In the throne speech, we repeated the promises we made to voters during the election. The result is clear: we now have a stable majority Conservative government."
1,"Mr. Speaker, in the election Canadians clearly voted for change and they clearly wanted members of Parliament to work together. That emotion and sentiment was very strong. They wanted a focus on their families and the issues that were affecting them each and every day. \lineBreak New Democrats have committed to work respectfully, to end heckling and to give this place the decorum that it deserves. Will the government commit today to do the same?","Mr. Speaker, we are, of course, looking forward to a mandate in which we can move forward constructively on the issues that we talked about with Canadians and to have in this House a debate that is meaningful, thoughtful and focused on policy and on the values of Canadians.  \lineBreak I think we are going to have that in the years to come. It promises to be a very good, productive and constructive Parliament. I know that with our clear mandate, having laid out exactly what we would do to Canadians—"
2,"Mr. Speaker, both our rural and urban communities need help to revitalize their infrastructure. Take, for example, the Champlain Bridge. \lineBreak The  \lineBreak Will this development be sustainable? Will public transit be part of the plan?","Mr. Speaker, our government has already invested a record amount of money in infrastructure. Our government also has an exceptional track record when it comes to transfers to cities and municipalities. \lineBreak Since 2009, our government has committed unprecedented stimulus contributions, which were announced in the March budget and which will be once again introduced today, with improvements, that the gas tax fund will be made permanent. That is an achievement of this government. We are proud of it and we are going to move forward."
3,"Mr. Speaker, in the 1990s, the federal deficit was downloaded onto the backs of Canadian communities. Twenty years later, Canadians are stuck in traffic, our bridges are crumbling, and our water systems are failing. Friday's throne speech ignored municipalities and infrastructure completely. Canadians deserve a vision, a national public transit strategy. \lineBreak Will the government act immediately with new funds to deal with the $123 billion infrastructure deficit?","Mr. Speaker, the member will recall that in 2007, we extended the gas tax fund by four years. In 2009, we doubled the gas tax fund. In 2010, despite economic challenges and despite efforts to keep costs down, we protected the gas tax fund.  \lineBreak In today's budget, she will have occasion to stand and join hands with our government as we move forward with an effort to make the gas tax fund permanent in order to help our communities right across the country."
4,"Mr. Speaker, Canada Post belongs to us and is mandated to provide postal service to all Canadians.  \lineBreak Lately, Conservatives have been whittling away at economically stable elements of Canada Post and have moved toward privatization. \lineBreak Does the government not realize that no private alternative can deliver Canada Post's mandate? Will the government use its influence to make sure management remembers that its mandate is to serve Canadians comes first?","Mr. Speaker, our government is committed to quality postal service for all Canadians no matter where they live.  \lineBreak Last year, Canada Post began a $2.1 billion modernization initiative which will make major investments in equipment, technology and other processes. \lineBreak We are making Canada Post more effective for Canadians, the clients, the people whom Canada Post serves, and I think Canadians will be very pleased with the results."
5,"Mr. Speaker, last year, Canada Post made $281 million in profit; yet, it is still asking its employees for concessions. This attitude threatens services in rural and remote areas. No private sector alternative would be able to deliver the mandate of Canada Post, which is to provide postal service to all Canadians. \lineBreak Will the federal government use its influence to remind Canada Post's management that its primary mandate is to provide services to all Canadians?","Mr. Speaker, Canada Post is mandated to provide postal service to Canadians regardless of where they live. Canada Post has made substantial investments in the infrastructure of Canada Post to the sum of $2.1 billion, as I have already mentioned. \lineBreak We are working to ensure that Canadians receive the best possible postal service regardless of where they live, and I look forward to working with the opposition parties and all stakeholders to ensure that Canadians get their mail when they ask for it."
6,"Mr. Speaker, the Health Council of Canada released its 2011 progress report and the conclusion is very clear. The government failed to make progress because it failed to show leadership.  \lineBreak Conservatives stalled altogether on a cost-saving national prescription drug program, failing Canadians who are now facing extraordinary drug costs. \lineBreak Will the government acknowledge its lack of progress and commit to working with New Democrats to protect Canada's health care system?","Mr. Speaker, I look forward to working with my colleague for the next four years. \lineBreak Our government recognizes the importance of timely access to health care and is working to support the provinces and the territories in their efforts to address the issue of wait times, as an example.  \lineBreak We have increased the transfers to the provinces by over 33% since we formed government, so that the provinces and territories can continue to focus in areas of importance. \lineBreak We will work collaboratively with the provinces and territories to renew the health care accord and to continue to reduce wait times in their respective jurisdictions. "
7,"Mr. Speaker, health care is far too important for just empty rhetoric and Canadians are very tired of false promises. Leading into the 2014 health care negotiations, now is the time to bring in much needed improvements. \lineBreak Will the government commit to holding open consultations with Canadians, so that the next accord reflects their values and priorities for health care in this country?","Mr. Speaker, as I said before, we are looking forward to working with the provinces and territories to renew the health accord and to continue to address the area of wait times, as an example, while respecting the fact that health care is delivered by and is under the jurisdiction of the provinces.  \lineBreak Our discussions will emphasize the importance of accountability and results for Canadians, including better reporting from the provinces and territories to measure progress and guarantees covering additional medically necessary procedures."
8,"Mr. Speaker, after last week's throne speech, we learned that the government is about to disband the Standing Committee on the Status of Women, which, since 2004, has been examining the legislation, programs and policies that affect Canadian women from all walks of life. \lineBreak Can the ","Mr. Speaker, as it is my first time getting up in the House in our four year majority mandate, I would like to thank the constituents of  \lineBreak I would also like to take this opportunity to congratulate my colleague and all the women who have been elected to Parliament in the last election. \lineBreak  I can assure members opposite that I will be working collaboratively with all women in the House, including those who sit on the Standing Committee on the Status of Women, to improve the lives of women all across this country."
9,"Mr. Speaker, when the government announced the beginning of Canada's participation in the mission in Libya it said it was an effort to protect civilians. Subsequently, there has been some confusion about the mission's objectives.  \lineBreak We are wondering if the ","Mr. Speaker, I want to congratulate the member for  \lineBreak There is no change in the military mission. The military mission was approved by the United Nations through resolutions 1970 and 1973 to protect the civilian population from attacks by Gadhafi's forces.  \lineBreak I look forward to debating an extension of that mission with the member and all members of the House in short order."
10,"Mr. Speaker, France and Italy have recognized the Libyan National Council as that country's legitimate government. \lineBreak Can the ","Mr. Speaker, in Canada we recognize states, not particular governments.  \lineBreak We do look forward to working with the council throughout the Canadian mission in Libya. It has a very important role to play in the future of Libya.  \lineBreak The G8 leaders at their summit in Deauville did say at a political level that Colonel Gadhafi must go. That is an important political objective. We can work closely with the transitional council on this important objective."
11,"Mr. Speaker, throughout 2009 and most of 2010, the  \lineBreak But in reality, as early as March 2009 the government had put all options back on the table despite what the  \lineBreak Why did the ","Mr. Speaker, I am pleased to tell the House that the  \lineBreak I believe the member for "
12,"Mr. Speaker, Canadians are right to question the government's promises on Afghanistan. \lineBreak For over a year the Conservatives repeatedly denied being pressured to extend our military mission by the United States, yet we now know the Americans made a formal request for Canada to extend the mission in 2009. Instead of saying “no”, the government just asked them to have patience. \lineBreak How can we trust a ","Mr. Speaker, as the member for  \lineBreak We have debated this issue a number of times here in the House of Commons. We take the member's questions on a regular basis and I look forward to doing so in the coming session of Parliament."
13,"Mr. Speaker, Canada is about to invest $35 billion in a maritime strategy that could create jobs in all shipyards across the country. What should be good news is worrying shipyard workers because foreign companies like BEA Systems want their piece of the pie. The NDP raised these concerns several times last winter. \lineBreak Can the government now confirm that Canadian shipyards will be the only beneficiaries, the only shipbuilders in this maritime strategy? ","Mr. Speaker, when the government made the historic decision to build the ships that our navy and Coast Guard needed right here in Canada, what that meant was more than 75 million man hours of work for the shipbuilding industry and for the manufacturing sector over the coming decade. \lineBreak This is a competitive, open, transparent process between several shipyards. At the end of the day, two shipyards will be chosen to do a great deal of work on behalf of the shipbuilding industry, but there will be shipyards and manufacturing sectors all across this country that will benefit from those jobs."
14,"Mr. Speaker, that is just the problem. The government says, “Trust us on jobs, trust us on this file”, but the reality is that it has been playing politics with this issue. \lineBreak  With this much money and jobs on the line, Canadians must see that there is a smart overall strategy that puts forward the strength of each of our shipbuilding regions in B.C., Ontario, Quebec and Atlantic Canada. \lineBreak Will the government stop the political games and look to use the strength of every shipbuilding region of our country in these contracts, so that all Canadians could benefit from this strategy?","Mr. Speaker, as the member well knows, the process that is under way is at arm's-length from the government through what is called the shipbuilding secretariat. \lineBreak We have created an open, fair, transparent and very competitive process. This process includes not only independent oversight provided by KPMG but also a fairness monitor and an international third party marine expert that is evaluating these bids to ensure the fairness, openness and transparency of the process. \lineBreak At the end of the day, this is a very competitive process. Again, this will create 75 million man hours of work across this country."
15,"Mr. Speaker, the Conservative government continues to shake the confidence of federal public servants. Threats of blind cuts are looming in the national capital region. Today we learn that the government has already increased the use of vulnerable temporary workers by 100%. \lineBreak Why does the Conservative government prefer using cheap labour over paying its public servants properly?","Mr. Speaker, I welcome the hon. member to this place and I also thank the electorate of  \lineBreak The issues that the hon. member refers to involve merely 1% of total payroll expenditures. Of course, we use temporary help when it is crucial to ensure the delivery of services to all Canadians that are needed to meet unexpected circumstances, fluctuations in workload and special expertise. Those are the things that help us deliver services to Canadians and that is why we are proud to do it."
16,"Mr. Speaker, in an article published today in  \lineBreak Is that what this government envisions for the future of the national capital region: precarious work, privatization and cheap labour?","Mr. Speaker, the main estimates and the budget outline the government's annual priorities with regard to budgetary planning and resource allocation for the fiscal year. The main estimates include details on planned budgetary expenditures of more than $2,000 billion for the fiscal year. \lineBreak We are doing things in a prudent way and spending on things that Canadians care about. That was our mandate and we are going through with it."
